URL,Year,School,Conf,Class,Pos,G,college_rush_att,college_rush_yds,college_rush_avg,college_rush_TD,college_rec_rec,college_rec_yds,college_rec_avg,college_rec_TD,college_scrim_plays,college_scrim_yds,college_scrim_avg,college_scrim_TD
https://www.sports-reference.com/cfb/players/chris-ogbonnaya-1.html,,Texas,Big 12,,,47.0,140.0,597.0,3.9,8.0,75.0,792.0,7.699999999999999,3.0,215.0,1389.0,5.45,11.0
https://www.sports-reference.com/cfb/players/chris-perry-1.html,,Michigan,Big Ten,,,45.0,794.0,3657.0,4.675,39.0,64.0,569.0,9.033333333333333,2.0,858.0,4226.0,4.875,41.0
https://www.sports-reference.com/cfb/players/chris-polk-1.html,,Washington,Pac-10,,,40.0,799.0,4049.0,4.275,26.0,79.0,683.0,6.425,4.0,878.0,4732.0,4.5,30.0
https://www.sports-reference.com/cfb/players/chris-rainey-1.html,,Florida,SEC,,,53.0,396.0,2464.0,7.3,13.0,69.0,795.0,12.325000000000001,6.0,465.0,3259.0,7.82,19.0
https://www.sports-reference.com/cfb/players/chris-thompson-1.html,,Florida State,ACC,,,39.0,277.0,1735.0,5.475,14.0,45.0,430.0,7.675,1.0,322.0,2165.0,5.775,15.0
https://www.sports-reference.com/cfb/players/chris-wells-1.html,,Ohio State,Big Ten,,,36.0,585.0,3382.0,5.733333333333333,30.0,15.0,84.0,6.033333333333334,0.0,600.0,3466.0,5.733333333333333,30.0
https://www.sports-reference.com/cfb/players/christian-mccaffrey-1.html,,Stanford,Pac-12,,,37.0,632.0,3922.0,6.466666666666666,21.0,99.0,1206.0,12.5,10.0,731.0,5128.0,7.633333333333333,31.0
https://www.sports-reference.com/cfb/players/christine-michael-1.html,,Texas A&M,Big 12,,,40.0,529.0,2791.0,5.2,34.0,44.0,323.0,7.050000000000001,1.0,573.0,3114.0,5.375,35.0
https://www.sports-reference.com/cfb/players/christopher-rodriguez-jr-1.html,,Kentucky,SEC,,,44.0,592.0,3644.0,9.379999999999999,32.0,20.0,116.0,6.725,3.0,612.0,3760.0,9.379999999999999,35.0
https://www.sports-reference.com/cfb/players/chuba-hubbard-1.html,,Oklahoma State,Big 12,,,33.0,585.0,3459.0,5.7,33.0,53.0,479.0,8.5,3.0,638.0,3938.0,5.966666666666666,36.0
https://www.sports-reference.com/cfb/players/ciatrick-fason-1.html,,Florida,SEC,,,38.0,315.0,1877.0,5.2,14.0,46.0,408.0,10.25,5.0,361.0,2285.0,5.533333333333334,19.0
https://www.sports-reference.com/cfb/players/cierre-wood-1.html,,Notre Dame,Ind,,,37.0,450.0,2447.0,5.566666666666666,16.0,52.0,384.0,6.833333333333333,2.0,502.0,2831.0,5.766666666666667,18.0
https://www.sports-reference.com/cfb/players/cj-anderson-1.html,,California,Pac-12,,,25.0,198.0,1135.0,5.55,12.0,22.0,350.0,18.75,2.0,220.0,1485.0,6.75,14.0
https://www.sports-reference.com/cfb/players/cj-prosise-1.html,,Notre Dame,Ind,,,32.0,167.0,1155.0,9.6,12.0,62.0,896.0,13.300000000000002,3.0,229.0,2051.0,11.366666666666667,15.0
https://www.sports-reference.com/cfb/players/cj-spiller-1.html,,Clemson,ACC,,,52.0,606.0,3547.0,5.9,32.0,123.0,1420.0,11.475,11.0,729.0,4967.0,6.875,43.0
https://www.sports-reference.com/cfb/players/cj-verdell-1.html,,Oregon,Pac-12,,,37.0,542.0,2929.0,5.2,27.0,58.0,610.0,10.15,3.0,600.0,3539.0,5.725,30.0
https://www.sports-reference.com/cfb/players/clarence-farmer-1.html,,Arizona,Pac-10,,,33.0,521.0,2530.0,4.5,19.0,26.0,208.0,8.125,2.0,547.0,2738.0,4.725,21.0
